Company,Valuation,DateJoined,Country,Industry,SelectedInvestors
Radius Payments Solutions,$1.07 ,11/27/17,UK,Internet Software & Services,Inflexion Private Equity
Formlabs,$1.06 ,8/1/18,USA,3D Printing,"Pitango Venture Capital, DFJ Growth Fund, Foundry Group"
Jiuxian,$1.05 ,7/30/15,China,eCommerce/Marketplace,"Sequoia Capital China, Rich Land Capital, Merrysunny Wealth"
Jumia,$1.04 ,2/8/16,Nigeria,eCommerce/Marketplace,AXA
AppDirect,$1.04 ,10/7/15,USA,Internet Software & Services,"Mithril, iNovia Capital, Foundry Group"
Avaloq Group,$1.01 ,3/22/17,Switzerland,Fintech,Warbug Pincus
Katerra,$1 ,4/13/17,USA,Construction Tech,"Foxconn Technology Company, Khosla Ventures, Moore Capital Management"
Yixia,$1 ,11/24/15,China,Social,"Sequoia Capital China, Sina Weibo, Kleiner Perkins Caufield & Byers, Redpoint Ventures"
Medallia,$2.40 ,7/21/15,USA,Internet Software & Services,Sequoia Capital
Apus Group,$1 ,1/16/15,China,Mobile Software & Services,"Redpoint Ventures, QiMing Venture Partners, Chengwei Capital"
CloudFlare,$1 ,12/1/12,USA,Cybersecurity,"New Enterprise Associates,
	  Pelion Venture Partners, Union Square Ventures"
Lookout,$1 ,8/13/14,USA,Cybersecurity,"Accel Partners, Greylock
	  Partners, Lowercase Capital"
Fanli,$1 ,4/20/15,China,eCommerce/Marketplace,"QiMing Venture Partners,
	  Steam boat Ventures"
TechStyle Fashion Group,$1 ,8/29/14,USA,eCommerce/Marketplace,"Matrix Partners, Passport
	  Capital, Rho Ventures"
Desktop Metal,$1.50 ,7/17/17,USA,3D Printing,"Australian Future Fund, GE Ventures, Data Collective"
Chime,$1.50 ,3/5/19,USA,Fintech,"Forerunner Ventures, Crosslink Capital, Homebrew"
Illumio,$1 ,4/14/14,USA,Cybersecurity,"Data Collective, Formation
	  8, General Catalyst Partners"
BeiBei,$1 ,1/22/15,China,eCommerce/Marketplace,"Banyan Capital, New Horizon
	  Capital, IDG Capital Partners"
InMobi,$1 ,12/2/14,India,Adtech,"Kleiner Perkins Caufield
	  & Byers, Softbank Corp., Sherpalo Ventures"
MarkLogic,$1 ,5/12/15,USA,Big Data,"Sequoia Capital, Tenaya Capital, Northgate Capital"
Zhaogang,$1 ,6/29/17,China,eCommerce/Marketplace,"K2 Ventures, Matrix Partners China, IDG Capital"
Vox Media,$1 ,8/12/15,USA,Media,"Accel Partners, Comcast Ventures, General Atlantic"
Kik Interactive,$1 ,8/18/15,Canada,Social,"Union Square Ventures, RRE Ventures, Spark Capital"
letgo,$1 ,9/28/17,USA,eCommerce/Marketplace,"Accel Partners, FJ Labs, Insight Venture Partners"
Kabbage,$1 ,10/14/15,USA,Fintech,"BlueRun Ventures, SV Angel, Mohr Davidow Ventures"
iTutorGroup,$1 ,11/18/15,China,Ed Tech,"QiMing Venture Partners, Temasek Holdings, Silverlink Capital"
Gusto,$1 ,12/18/15,USA,Fintech,"General Catalyst Partners, Google Ventures, Kleiner Perkins Caufield & Byers"
Dt Dream,$1 ,6/8/17,China,Internet Software & Services,"Alibaba Group, China Everbright Investment Management, Yinxinggu Capital"
