,KS,FDR,KS rank,FDR rank,Average rank
name-addr-homephone_lag1_lag14_avg,0.04389127583059781,0.07321957165244646,83.0,91.0,87.0
dob-addr_lag7_count,0.030331216922376836,0.06164025770503221,82.0,88.0,85.0
dob-homephone_lag7_count,0.030274785801010395,0.06181438272679784,81.0,90.0,85.5
name-dob-addr_lag7_count,0.030191552213817197,0.061727320215915024,80.0,89.0,84.5
name-addr_lag7_count,0.030004300088650626,0.061379070172383775,79.0,87.0,83.0
name-dob-homephone_lag7_count,0.029689324500944858,0.06111788263973533,78.0,85.0,81.5
name-homephone_lag7_count,0.029624324359924348,0.060943757617969704,77.0,83.5,80.25
ssn-address_lag7_count,0.02961621092640765,0.06120494515061815,76.0,86.0,81.0
ssn-homephone_lag7_count,0.029561511699075282,0.060943757617969704,75.0,83.5,79.25
ssn-zip5_lag7_count,0.029064480779490864,0.06059550757443845,74.0,81.5,77.75
name-dob-addr-homephone_lag7_count,0.02903366626657089,0.06042138255267282,73.0,78.5,75.75
dob-addr-homephone_lag7_count,0.029026008419191784,0.060508445063555634,72.0,80.0,76.0
ssn-addr_lag7_count,0.029022089044986155,0.06059550757443845,71.0,81.5,76.25
name-addr-homephone_lag7_count,0.028928827006838742,0.06042138255267282,70.0,78.5,74.25
Unnamed: 0,0.027044542521102,0.03482500435312554,68.5,8.0,38.25
record,0.027044542521102,0.03482500435312554,68.5,8.0,38.25
date,0.02699595125933274,0.034912066864008356,67.0,15.0,41.0
dob-addr_lag1_lag7_avg,0.026720537438387554,0.05798363224795403,66.0,77.0,71.5
name-dob-addr_lag1_lag7_avg,0.02665900108543508,0.05789656973707122,65.0,76.0,70.5
dob-homephone_lag1_lag7_avg,0.02648487606366946,0.05772244471530559,64.0,74.5,69.25
name-addr_lag1_lag7_avg,0.026446951962395392,0.05772244471530559,63.0,74.5,68.75
name-dob-homephone_lag1_lag7_avg,0.026041632087956623,0.057200069650008706,62.0,71.0,66.5
ssn-address_lag1_lag7_avg,0.025962866133994025,0.057374194671774334,61.0,73.0,67.0
name-homephone_lag1_lag7_avg,0.025905887864788292,0.05711300713912589,60.0,70.0,65.0
ssn-homephone_lag1_lag7_avg,0.02583796997235323,0.05728713216089152,59.0,72.0,65.5
name-dob-addr-homephone_lag1_lag7_avg,0.025552441027969185,0.056764757095594635,58.0,67.0,62.5
dob-addr-homephone_lag1_lag7_avg,0.025548612104279632,0.05702594462824308,57.0,69.0,63.0
ssn-addr_lag1_lag7_avg,0.025449425223972755,0.056764757095594635,56.0,67.0,61.5
ssn-zip5_lag1_lag7_avg,0.02540985967918073,0.056764757095594635,55.0,67.0,61.0
name-addr-homephone_lag1_lag7_avg,0.025371752454503096,0.05667769458471182,54.0,65.0,59.5
name-addr_lag3_count,0.015261650908197644,0.04736200592025074,53.0,56.5,54.75
dob-addr_lag3_count,0.015231201530899185,0.04736200592025074,52.0,56.5,54.25
name-dob-addr_lag3_count,0.015159454714774645,0.047449068431133556,51.0,58.0,54.5
dob-homephone_lag3_count,0.01505580020123709,0.04727494340936793,50.0,55.0,52.5
ssn-address_lag3_count,0.014941479638389876,0.0471008183876023,49.0,53.0,51.0
name-homephone_lag3_count,0.014902643253654979,0.047013755876719486,48.0,51.0,49.5
name-dob-homephone_lag3_count,0.014860980679207492,0.047187880898485114,47.0,54.0,50.5
ssn-zip5_lag3_count,0.0148480355880245,0.047013755876719486,46.0,51.0,48.5
ssn-addr_lag3_count,0.014776288771899848,0.047013755876719486,45.0,51.0,48.0
ssn-homephone_lag3_count,0.014738728695061543,0.04683963085495386,44.0,48.0,46.0
name-addr-homephone_lag3_count,0.014592682447019278,0.04666550583318823,43.0,45.0,44.0
name-dob-addr-homephone_lag3_count,0.01453698048571006,0.04683963085495386,42.0,48.0,45.0
dob-addr-homephone_lag3_count,0.014531875254124027,0.04683963085495386,41.0,48.0,44.5
name-addr_lag1_lag3_avg,0.010399641426596828,0.04231238028904754,40.0,42.5,41.25
name-dob-addr_lag1_lag3_avg,0.010320965923150311,0.04239944279993035,39.0,44.0,41.5
dob-addr_lag1_lag3_avg,0.010314584383667728,0.04231238028904754,38.0,42.5,40.25
ssn-address_lag1_lag3_avg,0.009983473490630515,0.04187706773463347,37.0,39.0,38.0
